Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-01-03 00:00:00-05:00,124.53865814208984,237.95632934570312,89.12000274658203,85.81999969482422,108.0999984741211
2023-01-04 00:00:00-05:00,125.82318878173828,227.54734802246094,88.08000183105469,85.13999938964844,113.63999938964844
2023-01-05 00:00:00-05:00,124.48887634277344,220.80337524414062,86.19999694824219,83.12000274658203,110.33999633789062
2023-01-06 00:00:00-05:00,129.0693359375,223.40562438964844,87.33999633789062,86.08000183105469,113.05999755859375
2023-01-09 00:00:00-05:00,129.59707641601562,225.5807647705078,88.0199966430664,87.36000061035156,119.7699966430664
2023-01-10 00:00:00-05:00,130.17462158203125,227.29904174804688,88.41999816894531,89.87000274658203,118.8499984741211
2023-01-11 00:00:00-05:00,132.9228973388672,234.1721649169922,91.5199966430664,95.08999633789062,123.22000122070312
2023-01-12 00:00:00-05:00,132.84323120117188,236.89356994628906,91.12999725341797,95.2699966430664,123.55999755859375
2023-01-13 00:00:00-05:00,134.1875,237.6086883544922,92.12000274658203,98.12000274658203,122.4000015258789
2023-01-17 00:00:00-05:00,135.36248779296875,238.72109985351562,91.29000091552734,96.05000305175781,131.49000549316406
2023-01-18 00:00:00-05:00,134.63558959960938,234.2118682861328,91.12000274658203,95.45999908447266,128.77999877929688
2023-01-19 00:00:00-05:00,134.69534301757812,230.35816955566406,93.05000305175781,93.68000030517578,127.16999816894531
2023-01-20 00:00:00-05:00,137.28428649902344,238.5919952392578,98.0199966430664,97.25,133.4199981689453
2023-01-23 00:00:00-05:00,140.51051330566406,240.9359893798828,99.79000091552734,97.5199966430664,143.75
2023-01-24 00:00:00-05:00,141.9244842529297,240.399658203125,97.69999694824219,96.31999969482422,143.88999938964844
2023-01-25 00:00:00-05:00,141.25732421875,238.97935485839844,95.22000122070312,97.18000030517578,144.42999267578125
2023-01-26 00:00:00-05:00,143.34841918945312,246.3192596435547,97.5199966430664,99.22000122070312,160.27000427246094
2023-01-27 00:00:00-05:00,145.31002807617188,246.47817993164062,99.37000274658203,102.23999786376953,177.89999389648438
2023-01-30 00:00:00-05:00,142.3925018310547,241.06512451171875,96.94000244140625,100.55000305175781,166.66000366210938
2023-01-31 00:00:00-05:00,143.677001953125,246.13055419921875,98.83999633789062,103.12999725341797,173.22000122070312
2023-02-01 00:00:00-05:00,144.81214904785156,251.03707885742188,100.43000030517578,105.1500015258789,181.41000366210938
2023-02-02 00:00:00-05:00,150.17926025390625,262.8067626953125,107.73999786376953,112.91000366210938,188.27000427246094
2023-02-03 00:00:00-05:00,153.8436279296875,256.59912109375,104.77999877929688,103.38999938964844,189.97999572753906
2023-02-06 00:00:00-05:00,151.0854034423828,255.0298309326172,102.9000015258789,102.18000030517578,194.75999450683594
2023-02-07 00:00:00-05:00,153.9929962158203,265.7467041015625,107.63999938964844,102.11000061035156,196.80999755859375
2023-02-08 00:00:00-05:00,151.27459716796875,264.9223327636719,99.37000274658203,100.05000305175781,201.2899932861328
2023-02-09 00:00:00-05:00,150.2290496826172,261.8334045410156,95.01000213623047,98.23999786376953,207.32000732421875
2023-02-10 00:00:00-05:00,150.59803771972656,261.31695556640625,94.56999969482422,97.61000061035156,196.88999938964844
2023-02-13 00:00:00-05:00,153.43031311035156,269.4812316894531,94.61000061035156,99.54000091552734,194.63999938964844
2023-02-14 00:00:00-05:00,152.78207397460938,270.3254699707031,94.68000030517578,99.69999694824219,209.25
2023-02-15 00:00:00-05:00,154.90626525878906,268.164794921875,96.94000244140625,101.16000366210938,214.24000549316406
2023-02-16 00:00:00-05:00,153.2906951904297,261.0255126953125,95.51000213623047,98.1500015258789,202.0399932861328
2023-02-17 00:00:00-05:00,152.13385009765625,256.95306396484375,94.3499984741211,97.19999694824219,208.30999755859375
2023-02-21 00:00:00-05:00,148.074951171875,251.586181640625,91.79000091552734,94.58000183105469,197.3699951171875
2023-02-22 00:00:00-05:00,148.5037841796875,250.43116760253906,91.6500015258789,95.79000091552734,200.86000061035156
2023-02-23 00:00:00-05:00,148.992431640625,253.67718505859375,90.88999938964844,95.81999969482422,202.07000732421875
2023-02-24 00:00:00-05:00,146.30978393554688,248.15098571777344,89.12999725341797,93.5,196.8800048828125
2023-02-27 00:00:00-05:00,147.5164794921875,249.0869598388672,89.87000274658203,93.76000213623047,207.6300048828125
2023-02-28 00:00:00-05:00,147.00787353515625,248.35012817382812,90.05999755859375,94.2300033569336,205.7100067138672
2023-03-01 00:00:00-05:00,144.91358947753906,245.21365356445312,90.36000061035156,92.16999816894531,202.77000427246094
2023-03-02 00:00:00-05:00,145.511962890625,250.0328826904297,92.0,92.12999725341797,190.89999389648438
2023-03-03 00:00:00-05:00,150.6179962158203,254.19493103027344,93.6500015258789,94.9000015258789,197.7899932861328
2023-03-06 00:00:00-05:00,153.4103546142578,255.76817321777344,95.12999725341797,93.75,193.80999755859375
2023-03-07 00:00:00-05:00,151.1864471435547,253.05982971191406,93.86000061035156,93.55000305175781,187.7100067138672
2023-03-08 00:00:00-05:00,152.45297241210938,252.6117706298828,94.25,93.91999816894531,182.0
2023-03-09 00:00:00-05:00,150.17918395996094,251.23770141601562,92.31999969482422,92.25,172.9199981689453
2023-03-10 00:00:00-05:00,148.0948944091797,247.523681640625,90.62999725341797,90.7300033569336,173.44000244140625
2023-03-13 00:00:00-04:00,150.0595245361328,252.83082580566406,91.11000061035156,92.43000030517578,174.47999572753906
2023-03-14 00:00:00-04:00,152.17373657226562,259.67138671875,93.97000122070312,94.87999725341797,183.25999450683594
