Year,Country,Region,SubRegion,IntermRegion,SurfAreaSqKm,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,DomCredit%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,GrossCapForm%GDP,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MilExp%GDP,MobileSubs/100,MortRateU5,NetMigr,PopTotal,RevenueExGrants%GDP,SchEnrollPrim%,TaxRevenue%GDP,UrbanPopGrowth%
1974,Benin,Africa,Sub-Saharan Africa,Western Africa,114760.0,29.2770131252217,2.2638397835609,554654861.53714,3.33931215742955,135.925,31.5336957738479,,14.3167561354656,6.842,-2343120.32888629,180.0,599423384.535394,18.2311159102171,29.4946483665807,17.0842249836147,14.9207099075904,44.085,32.6329060739478,1.44237918215613,,241.1,-4815.0,3301276.0,,37.4221382141113,,7.63282657595652
1974,Eswatini,Africa,Sub-Saharan Africa,Southern Africa,17360.0,28.7572093023256,2.86210748718666,264320939.570152,5.7434869047628,177.795,27.728285077951,,81.5144766146993,6.752,3532128.36842073,460.0,226285497.086684,23.8472160356347,59.2427616926503,28.5077951002227,10.2889454822052,53.086,119.551633144877,,,148.2,-3296.0,494624.0,,87.3911514282227,,10.1242671549399
1974,Guatemala,Americas,Latin America and the Caribbean,Central America,108890.0,55.937849944009,2.29212231161545,3161499901.58075,6.37502990286956,143.543,27.8979069396776,,22.4070859530946,6.458,47399999.9,540.0,3210083443.95008,18.5987669966398,25.6650332331182,18.7242707171998,15.6792720426292,54.039,40.234067360369,0.898307765301281,,150.5,-36100.0,5994300.0,,61.0849609375,,3.15155958144266
1974,Turkiye,Asia,Western Asia,,785350.0,50.4962384522433,2.17245118804501,35599700823.3766,5.59447440269336,122.975,36.0024203307785,,5.72811617587737,5.23,64000000.0,850.0,32866831299.388,17.8902783380395,11.2747075433643,22.5494150867285,28.9923473546045,59.051,14.9158556875095,3.19302137958854,,164.1,-172301.0,38863420.0,14.4413069786204,99.4516677856445,13.1706333198871,3.80346981646594
1974,United States,Americas,Northern America,,9629090.0,23.3491575462716,0.913660196067714,1545243000000.0,-0.540551651583186,56.05,,113.781809100588,8.19612190445127,1.835,3540000000.0,7980.0,1707501119396.6,22.6949418311554,8.24886441808829,,8.99869461437066,71.9560975609756,13.5845947854156,5.95411119676015,,19.7,789950.0,213854000.0,17.9661063017273,94.5111770629883,11.8376203613283,0.927239982306409
1974,"Gambia, The",Africa,Sub-Saharan Africa,Western Africa,11300.0,58.7849802371542,2.9712385031106,95796033.6554112,5.87879361029783,210.25,32.2147651006711,,38.9730323367907,6.382,1200000.0,160.0,94623026.704872,5.95710799267846,43.7154972544234,8.29774252593045,20.9372251362204,41.954,93.9496099846261,,,268.5,2606.0,594904.0,,23.3281192779541,,6.12061077646329
1974,Latvia,Europe,Northern Europe,,64594.0,,0.880573503137927,,,29.035,,,,1.97,,,,,,,,69.7409756097561,,,,,11343.0,2437186.0,,,,1.95589300057812
1974,Fiji,Oceania,Melanesia,,18270.0,30.9959496442255,1.61137046530022,558587216.568266,2.60114990977489,58.175,23.3333333333333,,,4.069,14300000.0,930.0,527327175.881754,,,20.2222222222222,29.6457126753187,61.686,82.8876827587436,0.242222222222222,,55.1,-4466.0,566296.0,,108.389198303223,,2.7016885166446
1974,Austria,Europe,Western Europe,,83879.0,92.0872273388269,0.170205767697282,35189299911.6608,3.94213807104376,50.489,,,29.1143695407296,1.91,177050000.0,4650.0,35357094636.4697,32.5240828436223,30.4533625711267,,9.50213951366192,71.0121951219512,45.98841136546,1.27688251935917,,25.2,-16505.0,7599038.0,28.7081225270168,101.823501586914,18.3973410315855,0.185526977301486
1974,Costa Rica,Americas,Latin America and the Caribbean,Central America,51100.0,40.310125342734,2.55830068574315,1666544754.30852,5.54489999097112,99.112,19.4193271595097,,33.1431557400906,3.893,46310009.9,880.0,1801372896.56877,26.7386519574344,48.1207960843602,27.5762920433749,23.213026722833,68.454,69.6050914325014,,,51.7,2851.0,2058235.0,18.5385565542389,106.799560546875,13.6201639990327,3.40822523313171
